minimizedAffinity,name,RFScoreVS_v2
-10.03564,ZINC000185084297,5.99469339548
-9.99785,ZINC000185084297,5.99645457099
-9.54555,ZINC000185084297,5.98096100074
-9.23040,ZINC000185084297,5.97669850902
-8.43541,ZINC000343213239,5.951703151
-8.43227,ZINC000343213239,5.95108970004
-8.18544,ZINC000343213239,5.9781397694
-7.97782,ZINC000343213239,5.951703151
-7.45771,ZINC000343213239,5.96112338821
-7.44675,ZINC000343213239,5.95725740576
-7.44286,ZINC000343213239,5.95139950396
-7.44181,ZINC000343213239,5.96714909418
-7.35885,ZINC000343213239,5.96023597399
-8.57802,ZINC000155719879,6.01499887018
-8.52976,ZINC000155719879,5.95499805421
-8.41699,ZINC000155719879,5.96183096543
-8.32371,ZINC000155719879,5.96757617755
-8.11018,ZINC000155719879,5.97896623846
-8.04277,ZINC000155719879,5.97956811761
-7.89536,ZINC000155719879,5.96223091678
-7.63735,ZINC000155719879,6.01094807035
-7.36582,ZINC000155719879,5.97790436457
-8.78616,ZINC000566176942,6.0563392297
-8.76803,ZINC000566176942,6.0386391265
-8.68570,ZINC000566176942,6.02558196173
-8.00968,ZINC000566176942,6.04019321938
-7.99116,ZINC000566176942,6.01778727483
-7.94365,ZINC000566176942,6.00515237357
-7.80153,ZINC000566176942,5.97230777482
-7.60947,ZINC000566176942,6.09922949435
-7.60272,ZINC000566176942,5.9852438711
-9.68330,ZINC000117348217,5.96990259321
-9.56223,ZINC000117348217,5.96379179482
-9.55458,ZINC000117348217,5.95803933246
-9.06823,ZINC000117348217,5.95153793327
-9.05596,ZINC000117348217,5.96586027906
-8.99147,ZINC000117348217,5.95829151498
-8.93637,ZINC000117348217,5.95156780758
